Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
12.54298973,3582.204643,201.6253052
12.67599964,3589.945634,199.3220978
13.00304985,3600,197.1307068
13.29767036,3600,196.4936066
12.84405994,3595.984792,195.3150024
12.70538998,3591.300461,196.0422058
12.1833601,3547.627655,197.7438965
12.20514011,3550.307222,196.8088074
12.60188007,3585.959181,193.8157043
12.84455013,3595.996394,194.3466034
12.49705982,3578.911555,196.009201
12.09607029,3536.105139,197.9526978
12.19612026,3549.206917,201.330307
12.55035019,3582.702554,201.1882019
12.6156702,3586.762967,202.6235962
13.10278034,3600,201.7666016
13.68774986,3600,199.0195007
14.10241985,3600,196.2552032
14.39330959,3600,195.8798981
14.07954979,3600,197.6403046
14.05440044,3600,197.2447968
13.51247025,3600,195.9954071
13.71004963,3600,192.4197998
13.7423296,3600,191.0137024
13.14186001,3600,192.2046967
12.86771011,3596.50506,192.771698
12.84727001,3596.060138,192.4705048
12.73211002,3592.421666,192.5679016
12.51620007,3580.322941,194.9992065
12.59866047,3585.767414,196.0422974
13.23031998,3600,196.4087982
13.0946703,3600,198.5249939
12.91687965,3597.329407,198.0101013
12.63354969,3587.762741,197.6634979
12.82567024,3595.524457,201.1040955
12.54162025,3582.111096,200.3634033
12.10496998,3537.337786,196.9826965
12.36250019,3567.394707,199.798996
12.60391045,3586.079315,201.2702942
12.21222019,3551.161616,198.9846039
11.98762035,3520.011831,202.5711975
11.67932987,3463.031603,200.7035065
12.46971989,3576.798254,197.8733978
12.49489975,3578.748756,201.1011047
11.78983021,3485.417643,200.3565979
10.90355015,3237.314957,199.4629059
12.18807983,3548.214895,202.7460022
11.97813034,3518.508247,199.4022064
10.67446995,3144.977295,197.2297058
9.69664669,2588.59196,200.3191986
11.41759014,3400.782508,200.488205
12.68927002,3590.573175,199.5281067
13.05860043,3600,200.6078033
11.52081966,3426.922472,195.8547058
11.51231003,3424.84719,197.7467041
12.41629982,3572.336603,199.1638031
12.16014957,3544.686608,198.3968964
11.67107964,3461.269666,194.6569977
11.14585972,3321.545696,195.8325043
10.77289963,3186.225079,193.1703949
10.92975998,3247.07462,195.0997009
12.14006042,3542.069502,198.2947998
11.19556046,3337.205225,200.7570038
12.94869041,3597.678446,204.0805969
14.87942982,3600,197.5942993
15.12405968,3600,196.3455963
16.29367065,3600,196.8367004
16.12397957,3600,192.2306061
15.27460003,3600,190.949295
13.56672001,3600,192.9456024
15.36779976,3600,194.7528076
15.86174965,3600,195.0402985
14.92051029,3600,197.9895935
13.60853004,3600,201.4945068
14.46385956,3600,200.4884033
12.68828964,3590.527705,202.2259979
13.55690002,3600,202.153595
13.32281017,3600,203.2893982
12.60700989,3586.261512,201.0937042
12.31476021,3562.628404,197.5440979
10.3801899,3006.71767,200.9197998
9.11702919,2219.691985,201.0245056
9.253190994,2308.322526,198.9759979
9.072306633,2190.704763,198.2364044
10.34463024,2988.424599,196.6472015
11.10330963,3307.71074,200.1464996
11.06910992,3296.300642,198.8968048
11.32581043,3375.742901,201.1446075
11.01513958,3277.761152,204.9272003
